id_auto  marca  modelo;anio;kilometraje;combustible;transmision;color;precio_usd
AUT-037  Fiat  Toro;2019;112532;Diesel;Automático;Negro;7800.0
AUT-038  Volkswagen  Gol;2022;84932;Eléctrico;Manual;Azul;9700.0
AUT-039  Hyundai  HB20;2017;137589;Diesel;Automático;Gris Oscuro;4400.0
AUT-040  Honda  Accord;2026;2578;Nafta;Manual;Rojo;29900.0
AUT-041  Renault  Sandero;2017;125888;Diesel;Manual;Gris Oscuro;5800.0
AUT-042  Nissan  Versa;2026;2908;Nafta;Automático;Azul;27700.0
AUT-043  Renault  Sandero;2016;205859;Diesel;Manual;Blanco;4000.0
AUT-044  Ford  Focus;2017;201535;Nafta;Automático;Azul;4000.0
AUT-045  Volkswagen  Gol;2026;1321;Nafta;Automático;Azul;30000.0
AUT-046  Ford  EcoSport;2017;96215;Nafta;Manual;Gris Oscuro;6100.0
AUT-047  Chevrolet  Onix;2020;140859;Diesel;Automático;Azul;5500.0
AUT-048  Chevrolet  Cruze;2017;221724;Nafta;Automático;Blanco Perlado;4000.0
AUT-049  Chevrolet  Tracker;2017;202871;Nafta;Manual;Blanco Perlado;4200.0
AUT-050  Chevrolet  Cruze;2022;62912;Diesel;Manual;Gris Plata;7200.0
AUT-051  Chevrolet  S10;2020;83521;Híbrido;Automático;Gris Oscuro;14400.0
AUT-052  Hyundai  Elantra;2025;27607;Nafta;Manual;Blanco;17200.0
AUT-053  Ford  Mustang;2019;71158;Nafta;Automático;Rojo;9500.0
AUT-054  Peugeot  408;2023;36993;Diesel;Manual;Gris Oscuro;9200.0
AUT-055  Peugeot  208;2023;73460;Diesel;Manual;Gris Oscuro;15400.0
AUT-056  Volkswagen  Polo;2024;27327;Diesel;Automático;Azul;17000.0
AUT-057  Peugeot  3008;2021;106959;Nafta;Manual;Negro;14300.0
AUT-058  Peugeot  2008;2024;38578;Nafta;Manual;Gris Oscuro;15800.0
AUT-059  Chevrolet  S10;2024;40157;Nafta;Automático;Rojo;13900.0
AUT-060  Hyundai  Elantra;2026;1490;Diesel;Automático;Azul;33600.0
AUT-061  Nissan  Kicks;2016;232938;Diesel;Manual;Blanco Perlado;4000.0
AUT-062  Ford  Ranger;2015;156905;Nafta;Manual;Negro;4900.0
AUT-063  Nissan  Versa;2026;3245;Nafta;Manual;Gris Plata;33100.0
AUT-064  Toyota  Corolla;2021;65806;Diesel;Automático;Blanco;15600.0
AUT-065  Chevrolet  Onix;2022;51348;Diesel;Automático;Blanco Perlado;15700.0
AUT-066  Nissan  March;2021;122016;Nafta;Manual;Rojo;10800.0
AUT-067  Honda  CR-V;2018;189623;Diesel;Automático;Rojo;4000.0
AUT-068  Renault  Kwid;2016;216581;Nafta;Automático;Gris Oscuro;4000.0
AUT-069  Volkswagen  Amarok;2017;125367;Diesel;Manual;Blanco;7000.0
AUT-070  Peugeot  3008;2023;54711;Nafta;Automático;Negro;19800.0
AUT-071  Toyota  Prius;2021;84166;Híbrido;Automático;Blanco Perlado;11700.0
AUT-072  Peugeot  408;2026;4573;Diesel;Manual;Negro;18900.0
AUT-073  Renault  Kwid;2022;43271;Nafta;Automático;Rojo;10700.0
AUT-074  Honda  HR-V;2024;32943;Híbrido;Manual;Blanco;24900.0
AUT-075  Peugeot  2008;2022;47731;Nafta;Automático;Gris Plata;16200.0
AUT-076  Fiat  Mobi;2021;74696;Nafta;Manual;Negro;6300.0
AUT-077  Hyundai  Tucson;2020;78162;Diesel;Manual;Blanco Perlado;5800.0
AUT-078  Chevrolet  Cruze;2015;219465;Nafta;Automático;Rojo;4000.0
AUT-079  Nissan  Versa;2022;85038;Diesel;Manual;Azul;16400.0
AUT-080  Volkswagen  Amarok;2019;86878;Nafta;Automático;Azul;13600.0
AUT-081  Peugeot  Partner;2026;1724;Nafta;Manual;Blanco;34600.0
AUT-082  Renault  Alaskan;2016;234722;Diesel;Automático;Azul;4000.0
AUT-083  Fiat  Cronos;2023;62417;Nafta;Automático;Blanco Perlado;17300.0
AUT-084  Volkswagen  T-Cross;2020;125010;Diesel;Automático;Gris Plata;10300.0
AUT-085  Renault  Alaskan;2023;70994;Nafta;Automático;Gris Oscuro;11900.0
AUT-086  Volkswagen  Polo;2022;58593;Nafta;Automático;Gris Oscuro;7500.0
AUT-087  Honda  CR-V;2017;160367;Nafta;Automático;Gris Oscuro;4700.0
AUT-088  Nissan  Kicks;2023;33962;Híbrido;Manual;Gris Plata;17500.0
AUT-089  Honda  Accord;2018;173312;Nafta;Automático;Negro;4000.0
AUT-090  Volkswagen  Polo;2018;131986;Nafta;Automático;Negro;8700.0
AUT-091  Hyundai  HB20;2021;115122;Nafta;Automático;Gris Oscuro;9000.0
AUT-092  Renault  Logan;2016;216325;Nafta;Manual;Gris Plata;4000.0
AUT-093  Honda  CR-V;2026;4929;Híbrido;Automático;Blanco;18100.0
AUT-094  Renault  Logan;2020;77586;Nafta;Manual;Gris Oscuro;6100.0
AUT-095  Toyota  Prius;2019;147050;Nafta;Automático;Blanco;4000.0
AUT-096  Nissan  Kicks;2022;73588;Nafta;Manual;Gris Oscuro;15000.0
AUT-097  Volkswagen  Gol;2021;86493;Nafta;Manual;Gris Plata;7900.0
AUT-098  Nissan  Kicks;2016;137600;Nafta;Automático;Azul;7400.0
AUT-099  Nissan  Versa;2023;51077;Híbrido;Automático;Blanco Perlado;20200.0
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
    ;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
